@relation /home/othavioaset_perfeito_keel
@attribute EMA_3 real [-0.01, 1.01]
@attribute SMA_3 real [-0.01, 1.01]
@attribute ADXR real [-0.01, 1.01]
@attribute Bollinger_Norm real [-0.01, 1.01]
@attribute EMA_5 real [-0.01, 1.01]
@attribute SMA_5 real [-0.01, 1.01]
@attribute std_close3 real [-0.01, 1.01]
@attribute std_open3 real [-0.01, 1.01]
@attribute trend {0, 1}
@inputs EMA_3, SMA_3, ADXR, Bollinger_Norm, EMA_5, SMA_5, std_close3, std_open3
@outputs trend
@data
0.448, 0.43827, 0.36807, 0.48535, 0.45042, 0.44266, 0.03755, 0.03271, 0
0.44113, 0.43663, 0.36743, 0.4845, 0.42467, 0.40871, 0.11289, 0.04856, 1
0.42987, 0.42901, 0.40918, 0.48459, 0.43414, 0.43798, 0.11155, 0.16907, 0
0.45178, 0.4416, 0.42714, 0.48043, 0.45379, 0.44974, 0.02079, 0.01008, 0
0.43299, 0.43305, 0.32074, 0.48469, 0.42527, 0.41549, 0.03983, 0.05869, 0
0.45305, 0.44446, 0.25198, 0.47081, 0.46236, 0.45707, 0.03773, 0.04169, 1
0.43871, 0.44383, 0.23889, 0.484, 0.42364, 0.40791, 0.01289, 0.01424, 0
0.43452, 0.43467, 0.24072, 0.48315, 0.42622, 0.42273, 0.04632, 0.07036, 1
0.4457, 0.43143, 0.30996, 0.48248, 0.441, 0.43965, 0.12783, 0.05632, 1
0.4527, 0.44423, 0.3216, 0.48165, 0.44667, 0.43473, 0.0645, 0.0498, 0
0.43091, 0.41804, 0.35695, 0.48587, 0.4354, 0.42956, 0.13071, 0.16373, 0
0.45744, 0.44709, 0.32975, 0.47525, 0.46301, 0.44851, 0.03609, 0.04327, 1
0.43756, 0.43225, 0.21611, 0.48278, 0.44191, 0.44224, 0.05486, 0.06937, 0
0.45387, 0.44409, 0.38351, 0.47262, 0.46339, 0.46154, 0.03737, 0.03638, 1
0.42898, 0.43229, 0.33788, 0.48485, 0.43469, 0.43118, 0.13334, 0.15366, 1
0.46002, 0.45445, 0.31575, 0.47465, 0.46789, 0.46971, 0.11055, 0.04757, 1
0.43727, 0.43623, 0.11608, 0.48404, 0.43343, 0.43048, 0.04483, 0.05689, 0
0.42587, 0.42878, 0.13875, 0.47618, 0.44529, 0.45262, 0.23586, 0.13625, 1
0.44283, 0.43788, 0.14548, 0.4808, 0.44928, 0.4471, 0.04768, 0.11659, 0
0.44767, 0.44139, 0.16914, 0.47248, 0.46098, 0.46329, 0.09523, 0.06518, 0
0.433, 0.43456, 0.23275, 0.48363, 0.44094, 0.43895, 0.12859, 0.20458, 1
0.44669, 0.44739, 0.27007, 0.48204, 0.43814, 0.43255, 0.05404, 0.04592, 0
0.47859, 0.47364, 0.32641, 0.46912, 0.50468, 0.51265, 0.2895, 0.38007, 1
0.47143, 0.46594, 0.34231, 0.47735, 0.46976, 0.45641, 0.11958, 0.14326, 1
0.45919, 0.442, 0.42049, 0.47251, 0.4685, 0.46482, 0.0615, 0.07994, 0
0.44414, 0.43894, 0.41588, 0.47916, 0.45154, 0.44888, 0.06394, 0.05273, 1
0.45286, 0.44485, 0.32222, 0.47717, 0.45782, 0.44851, 0.01896, 0.0239, 1
0.45162, 0.4424, 0.2165, 0.48313, 0.45219, 0.44506, 0.03117, 0.13019, 1
0.46273, 0.46059, 0.21144, 0.47187, 0.47874, 0.47041, 0.18726, 0.19168, 1
0.4695, 0.45554, 0.29331, 0.46934, 0.47509, 0.46279, 0.08427, 0.10036, 1
0.34062, 0.36716, 0.34232, 0.48086, 0.37744, 0.40023, 0.64659, 0.74392, 1
0.45458, 0.44345, 0.28573, 0.47751, 0.45799, 0.45624, 0.02496, 0.02123, 1
0.43327, 0.42984, 0.27811, 0.48448, 0.44084, 0.44062, 0.09212, 0.10075, 1
0.45392, 0.44139, 0.19594, 0.47406, 0.46085, 0.45237, 0.0363, 0.06308, 1
0.46337, 0.45133, 0.16645, 0.4712, 0.46957, 0.46253, 0.05136, 0.08112, 1
0.4561, 0.44984, 0.14024, 0.48253, 0.44812, 0.43649, 0.06918, 0.06863, 0
0.45431, 0.44839, 0.12908, 0.48122, 0.45036, 0.45024, 0.03483, 0.04757, 0
0.44485, 0.44221, 0.13111, 0.47603, 0.45149, 0.45673, 0.1052, 0.17365, 1
0.50179, 0.47646, 0.14614, 0.4712, 0.49551, 0.48462, 0.26137, 0.223, 0
0.45031, 0.44057, 0.25493, 0.48307, 0.44848, 0.44515, 0.03945, 0.03273, 1
0.45583, 0.44425, 0.30123, 0.48216, 0.45166, 0.44429, 0.07831, 0.07713, 1
0.44327, 0.43748, 0.44315, 0.48207, 0.44965, 0.44588, 0.03872, 0.05958, 0
0.45641, 0.44406, 0.42481, 0.47214, 0.46103, 0.4546, 0.0403, 0.03805, 0
0.44633, 0.43825, 0.40884, 0.48432, 0.45886, 0.44579, 0.02537, 0.02203, 0
0.44771, 0.43908, 0.48056, 0.4738, 0.45807, 0.45227, 0.02986, 0.0485, 0
0.45761, 0.44643, 0.50149, 0.48162, 0.45592, 0.44591, 0.07294, 0.07656, 0
0.4757, 0.46346, 0.4954, 0.4663, 0.48126, 0.48042, 0.10774, 0.09275, 0
0.45085, 0.4374, 0.38485, 0.47635, 0.45855, 0.44387, 0.04591, 0.04818, 1
0.44796, 0.44244, 0.19184, 0.47884, 0.4549, 0.45126, 0.05651, 0.09478, 0
0.44399, 0.43782, 0.17081, 0.4764, 0.45444, 0.45635, 0.07554, 0.07753, 1
0.43415, 0.42551, 0.11478, 0.48589, 0.42422, 0.41489, 0.14233, 0.15711, 1
0.40769, 0.4151, 0.15959, 0.48242, 0.41956, 0.43443, 0.26084, 0.29399, 1
0.44017, 0.43386, 0.1329, 0.47884, 0.44776, 0.43781, 0.04402, 0.06917, 1
0.46295, 0.45271, 0.12327, 0.47362, 0.46775, 0.45887, 0.05628, 0.12964, 1
0.44691, 0.43638, 0.11363, 0.48473, 0.4447, 0.43403, 0.0853, 0.02845, 0
0.45196, 0.44684, 0.20767, 0.47749, 0.45841, 0.45569, 0.06388, 0.04099, 1
0.44799, 0.43658, 0.18477, 0.48319, 0.44852, 0.44111, 0.0734, 0.12619, 1
0.45811, 0.44809, 0.14649, 0.46859, 0.46546, 0.46431, 0.0424, 0.1645, 1
0.46193, 0.4462, 0.15124, 0.47202, 0.46539, 0.45987, 0.0773, 0.13076, 1
0.17549, 0.17968, 0.27283, 0.55519, 0.18301, 0.18868, 0.15302, 0.15404, 1
0.45288, 0.45355, 0.18664, 0.47284, 0.46799, 0.46941, 0.19003, 0.14607, 1
0.01556, 0.01144, 0.36189, 0.53016, 0.02934, 0.04945, 0.11998, 0.06532, 1
0.45375, 0.43929, 0.34456, 0.47477, 0.46498, 0.44871, 0.05183, 0.0522, 0
0.45346, 0.44666, 0.34815, 0.47501, 0.46453, 0.45573, 0.05906, 0.0944, 1
0.44336, 0.4355, 0.31852, 0.47733, 0.45388, 0.44985, 0.04326, 0.03992, 0
0.45338, 0.44703, 0.28455, 0.47782, 0.45339, 0.46391, 0.05951, 0.06593, 0
0.44632, 0.43214, 0.25916, 0.47675, 0.44683, 0.45509, 0.05772, 0.03242, 1
0.43961, 0.43275, 0.29215, 0.47625, 0.45028, 0.44999, 0.07265, 0.02115, 1
0.45576, 0.44324, 0.35875, 0.47954, 0.45828, 0.44624, 0.06618, 0.09453, 0
0.44643, 0.44242, 0.31232, 0.47884, 0.45331, 0.4571, 0.08965, 0.05965, 0
0.42725, 0.41741, 0.22542, 0.48955, 0.42944, 0.42043, 0.13189, 0.12648, 0
0.45136, 0.44345, 0.24105, 0.473, 0.46233, 0.45722, 0.05103, 0.02739, 0
0.45542, 0.44306, 0.47262, 0.47776, 0.45233, 0.44897, 0.06871, 0.05016, 1
0.44735, 0.4393, 0.49092, 0.48054, 0.45322, 0.44821, 0.01814, 0.01114, 1
0.46355, 0.45163, 0.44252, 0.47524, 0.46476, 0.45543, 0.07022, 0.11537, 1
0.44099, 0.43535, 0.43019, 0.48624, 0.4411, 0.43419, 0.02902, 0.08746, 1
0.4477, 0.43805, 0.38661, 0.47464, 0.45585, 0.45074, 0.01941, 0.01939, 1
0.44709, 0.44473, 0.33218, 0.47453, 0.45773, 0.4601, 0.12842, 0.08668, 0
0.4577, 0.44703, 0.31656, 0.47039, 0.46915, 0.47124, 0.05643, 0.05264, 0
0.45338, 0.44077, 0.30303, 0.47221, 0.46416, 0.46276, 0.00403, 0.05485, 0
0.47365, 0.45127, 0.34482, 0.47205, 0.4814, 0.46742, 0.13872, 0.15575, 0
0.48894, 0.46259, 0.35633, 0.47631, 0.4813, 0.45978, 0.28597, 0.31399, 1
0.45302, 0.44244, 0.37646, 0.47133, 0.45794, 0.45518, 0.00699, 0.00772, 0
0.44911, 0.43951, 0.38656, 0.47554, 0.45451, 0.45074, 0.00807, 0.04696, 1
0.4581, 0.45065, 0.35953, 0.4744, 0.46265, 0.4541, 0.04879, 0.0539, 1
0.46243, 0.44653, 0.29159, 0.47134, 0.46792, 0.46146, 0.07024, 0.07428, 0
0.44499, 0.43358, 0.28868, 0.48246, 0.45067, 0.44463, 0.0469, 0.0767, 0
0.44987, 0.44262, 0.28878, 0.47872, 0.45591, 0.45173, 0.0234, 0.05275, 1
0.47917, 0.4601, 0.28176, 0.4752, 0.47608, 0.46158, 0.17373, 0.19079, 0
0.45781, 0.44508, 0.22818, 0.48035, 0.45833, 0.44949, 0.06945, 0.07426, 0
0.43726, 0.43442, 0.19263, 0.48562, 0.44148, 0.4377, 0.06525, 0.09649, 0
0.45237, 0.44406, 0.19256, 0.47589, 0.45907, 0.44812, 0.0143, 0.04746, 0
0.45317, 0.4447, 0.47781, 0.47254, 0.46401, 0.45664, 0.04648, 0.01012, 1
0.46081, 0.45029, 0.27956, 0.46724, 0.46952, 0.46429, 0.04608, 0.02336, 0
0.4467, 0.4393, 0.14952, 0.48285, 0.45102, 0.44744, 0.01528, 0.02157, 1
0.45884, 0.44979, 0.16196, 0.46744, 0.46573, 0.46233, 0.04918, 0.02136, 0
0.45993, 0.44614, 0.37363, 0.47518, 0.46306, 0.45587, 0.06662, 0.09595, 0
0.45561, 0.44325, 0.40722, 0.47222, 0.46114, 0.45424, 0.03265, 0.05125, 1
0.45329, 0.44139, 0.40768, 0.478, 0.45646, 0.44748, 0.05007, 0.06035, 0
0.44643, 0.43767, 0.4104, 0.4858, 0.44927, 0.44035, 0.0281, 0.03257, 1
0.4428, 0.43974, 0.4106, 0.48175, 0.44866, 0.44736, 0.0745, 0.05933, 0
0.72651, 0.70946, 0.43143, 0.30098, 0.73527, 0.72455, 0.04963, 0.03493, 0
0.44421, 0.43705, 0.22144, 0.48013, 0.45133, 0.44498, 0.03406, 0.03982, 1
0.43313, 0.42487, 0.20373, 0.47771, 0.44445, 0.44323, 0.08527, 0.04868, 1
0.45039, 0.44324, 0.27191, 0.47998, 0.4521, 0.44974, 0.02293, 0.04966, 0
0.44904, 0.43747, 0.28973, 0.4804, 0.45243, 0.43898, 0.06462, 0.07294, 1
0.45153, 0.44265, 0.27937, 0.47369, 0.45883, 0.45456, 0.01732, 0.01833, 0
0.45774, 0.44347, 0.18516, 0.47426, 0.47158, 0.47886, 0.01221, 0.00665, 1
0.44276, 0.43495, 0.18329, 0.48763, 0.4465, 0.43966, 0.03185, 0.0133, 0
0.45538, 0.44951, 0.15695, 0.47111, 0.4676, 0.47244, 0.11837, 0.12673, 1
0.44632, 0.43767, 0.14948, 0.48438, 0.44458, 0.43985, 0.04, 0.04017, 1
0.45309, 0.44428, 0.14855, 0.48211, 0.45101, 0.44561, 0.03603, 0.04623, 1
0.44117, 0.43417, 0.18166, 0.47595, 0.45131, 0.44924, 0.06477, 0.03438, 0
0.43505, 0.42584, 0.2877, 0.48948, 0.43906, 0.43503, 0.0779, 0.05428, 1
0.45585, 0.44678, 0.35452, 0.4791, 0.45713, 0.45651, 0.02748, 0.0435, 1
0.4681, 0.46548, 0.36575, 0.46889, 0.48263, 0.48598, 0.21383, 0.28288, 0
0.51716, 0.48433, 0.52637, 0.4732, 0.50551, 0.48497, 0.38916, 0.46227, 1
0.43405, 0.4372, 0.53206, 0.48455, 0.41458, 0.39203, 0.07101, 0.0544, 1
0.45213, 0.44414, 0.37241, 0.48258, 0.45245, 0.44487, 0.02551, 0.00595, 0
0.44855, 0.43928, 0.28025, 0.4805, 0.45343, 0.44422, 0.01834, 0.03316, 0
0.44408, 0.4359, 0.16111, 0.48677, 0.44755, 0.43897, 0.03004, 0.0644, 0
0.45086, 0.44182, 0.14928, 0.47712, 0.45643, 0.4537, 0.00935, 0.01127, 1
0.46457, 0.45276, 0.22652, 0.46772, 0.46929, 0.47154, 0.05656, 0.08102, 0
0.45218, 0.45519, 0.22123, 0.47356, 0.47427, 0.46336, 0.2301, 0.21895, 0
0.46649, 0.45203, 0.21309, 0.47173, 0.48627, 0.48556, 0.06231, 0.06543, 1
0.47497, 0.46429, 0.18701, 0.47347, 0.47458, 0.47207, 0.11218, 0.07285, 0
0.43891, 0.43126, 0.24204, 0.48743, 0.43898, 0.43335, 0.05472, 0.07681, 0
0.46195, 0.45112, 0.30139, 0.47352, 0.46627, 0.46253, 0.04796, 0.0747, 0
0.42657, 0.42469, 0.30672, 0.47872, 0.4412, 0.43986, 0.14708, 0.11278, 1
0.45019, 0.44035, 0.39563, 0.48044, 0.45381, 0.44986, 0.01117, 0.01234, 0
0.45002, 0.4414, 0.30247, 0.4784, 0.45555, 0.4528, 0.01241, 0.05118, 0
0.79572, 0.77905, 0.30074, 0.40338, 0.7986, 0.78477, 0.03988, 0.05711, 1
0.45245, 0.43779, 0.2678, 0.47398, 0.46522, 0.45306, 0.03275, 0.03109, 1
0.44862, 0.43885, 0.28465, 0.47559, 0.45659, 0.44947, 0.0114, 0.02159, 1
0.45829, 0.44692, 0.3011, 0.47384, 0.46328, 0.45255, 0.04092, 0.01037, 1
0.44791, 0.43694, 0.34064, 0.48272, 0.45094, 0.44703, 0.04091, 0.05343, 0
0.44815, 0.44055, 0.33643, 0.48183, 0.45179, 0.44587, 0.00614, 0.05178, 0
0.40648, 0.4029, 0.17389, 0.48605, 0.41433, 0.40434, 0.18737, 0.32332, 1
0.45529, 0.44771, 0.20418, 0.47051, 0.46668, 0.46172, 0.06604, 0.05391, 0
