@relation /home/othavioaset_perfeito_keel
@attribute EMA_3 real[-0.01,1.01]
@attribute SMA_3 real[-0.01,1.01]
@attribute ADXR real[-0.01,1.01]
@attribute Bollinger_Norm real[-0.01,1.01]
@attribute EMA_5 real[-0.01,1.01]
@attribute SMA_5 real[-0.01,1.01]
@attribute std_close3 real[-0.01,1.01]
@attribute std_open3 real[-0.01,1.01]
@attribute trend{0,1}
@inputs EMA_3, SMA_3, ADXR, Bollinger_Norm, EMA_5, SMA_5, std_close3, std_open3
@outputs trend
@data
0.45574, 0.44348, 0.38769, 0.47084, 0.46344, 0.45693, 0.02213, 0.01388, 0
0.4476, 0.43764, 0.38981, 0.47691, 0.45472, 0.44721, 0.01919, 0.01602, 1
0.45377, 0.44431, 0.38131, 0.47459, 0.45953, 0.45087, 0.01597, 0.04495, 1
0.45462, 0.44285, 0.3758, 0.47962, 0.45796, 0.4491, 0.04599, 0.04493, 1
0.448, 0.43827, 0.36807, 0.48535, 0.45042, 0.44266, 0.03755, 0.03271, 0
0.44373, 0.43764, 0.35834, 0.48615, 0.44778, 0.44191, 0.02566, 0.03418, 1
0.45344, 0.44535, 0.35568, 0.4778, 0.45771, 0.45339, 0.02446, 0.05827, 0
0.44037, 0.43369, 0.36155, 0.48132, 0.44787, 0.44733, 0.05527, 0.05825, 1
0.46265, 0.45244, 0.36648, 0.46648, 0.46862, 0.4649, 0.05533, 0.07576, 1
0.46065, 0.44389, 0.35631, 0.47583, 0.46185, 0.45264, 0.10702, 0.08397, 1
0.47339, 0.45283, 0.35175, 0.47951, 0.46383, 0.4457, 0.23294, 0.31518, 1
0.4459, 0.43082, 0.36134, 0.48456, 0.4302, 0.40827, 0.24092, 0.30577, 1
0.44113, 0.43663, 0.36743, 0.4845, 0.42467, 0.40871, 0.11289, 0.04856, 1
0.45464, 0.44698, 0.37375, 0.48287, 0.43646, 0.42604, 0.1242, 0.07719, 0
0.43029, 0.42673, 0.38506, 0.48435, 0.41728, 0.41858, 0.08484, 0.10444, 1
0.45491, 0.45069, 0.3935, 0.48141, 0.44439, 0.44636, 0.04638, 0.03667, 0
0.44311, 0.43499, 0.40027, 0.48329, 0.43629, 0.43935, 0.04565, 0.04016, 1
0.44679, 0.43747, 0.41147, 0.4835, 0.4431, 0.44111, 0.04196, 0.10621, 0
0.42987, 0.42901, 0.40918, 0.48459, 0.43414, 0.43798, 0.11155, 0.16907, 0
0.45152, 0.44863, 0.41304, 0.47256, 0.46122, 0.46602, 0.13948, 0.11854, 1
0.47604, 0.45753, 0.41983, 0.46753, 0.48082, 0.47945, 0.10156, 0.13789, 1
0.44636, 0.43024, 0.42629, 0.47947, 0.44851, 0.44148, 0.12085, 0.0022, 0
0.4606, 0.44944, 0.44137, 0.4789, 0.45983, 0.44773, 0.06809, 0.07274, 0
0.43773, 0.42964, 0.43054, 0.48568, 0.43865, 0.43462, 0.06216, 0.0428, 1
0.45178, 0.4416, 0.42714, 0.48043, 0.45379, 0.44974, 0.02079, 0.01008, 0
0.44789, 0.43912, 0.41497, 0.48224, 0.45071, 0.44849, 0.01211, 0.0166, 0
0.4469, 0.43974, 0.40392, 0.48042, 0.45144, 0.44774, 0.02347, 0.01539, 1
0.45401, 0.44469, 0.40163, 0.47104, 0.45858, 0.45474, 0.0177, 0.01143, 0
0.44901, 0.43912, 0.39784, 0.47934, 0.4539, 0.45011, 0.01211, 0.02286, 0
0.44872, 0.44056, 0.3979, 0.47626, 0.45443, 0.45011, 0.0158, 0.05401, 0
0.44383, 0.43747, 0.40401, 0.47656, 0.45221, 0.44936, 0.05476, 0.08003, 0
0.44677, 0.44098, 0.39901, 0.47311, 0.45824, 0.458, 0.08459, 0.05407, 0
0.45649, 0.44635, 0.39097, 0.46992, 0.46807, 0.4664, 0.04988, 0.01589, 1
0.46866, 0.45111, 0.38592, 0.46992, 0.47419, 0.46552, 0.09576, 0.07284, 0
0.44268, 0.43025, 0.3864, 0.48212, 0.44626, 0.43473, 0.09102, 0.10233, 0
0.44525, 0.44036, 0.37372, 0.48201, 0.44955, 0.43898, 0.02448, 0.03636, 0
0.44843, 0.4416, 0.35585, 0.48061, 0.45389, 0.44798, 0.02768, 0.02962, 0
0.43701, 0.43313, 0.34687, 0.47976, 0.44755, 0.44999, 0.0994, 0.09279, 1
0.46019, 0.45194, 0.33667, 0.46999, 0.47127, 0.47117, 0.08647, 0.09825, 0
0.45304, 0.43974, 0.32756, 0.47213, 0.46321, 0.46026, 0.01111, 0.03248, 0
0.4482, 0.43891, 0.31963, 0.47402, 0.45848, 0.45337, 0.02501, 0.05251, 0
0.448, 0.44036, 0.31305, 0.47392, 0.45921, 0.45224, 0.04859, 0.06314, 0
0.44885, 0.44098, 0.30561, 0.47317, 0.4612, 0.45726, 0.05712, 0.04136, 0
0.45342, 0.44367, 0.29948, 0.47081, 0.46554, 0.46154, 0.03994, 0.01753, 1
0.45398, 0.4416, 0.28012, 0.47406, 0.46117, 0.45162, 0.03468, 0.02678, 0
0.44516, 0.43663, 0.26684, 0.48033, 0.45217, 0.44308, 0.02198, 0.02174, 1
0.45507, 0.44595, 0.26335, 0.47562, 0.4606, 0.45199, 0.02306, 0.00963, 0
0.42567, 0.42358, 0.26676, 0.48252, 0.43801, 0.43794, 0.13549, 0.16562, 1
0.48358, 0.47087, 0.2559, 0.4649, 0.49043, 0.48496, 0.14336, 0.23623, 1
0.45388, 0.43269, 0.24711, 0.4794, 0.45482, 0.44434, 0.17617, 0.2926, 1
0.45401, 0.44242, 0.24373, 0.48176, 0.4501, 0.43532, 0.11081, 0.10051, 1
