@relation /home/othavioaset_perfeito_keel
@attribute EMA_3 real[-0.01,1.01]
@attribute SMA_3 real[-0.01,1.01]
@attribute ADXR real[-0.01,1.01]
@attribute Bollinger_Norm real[-0.01,1.01]
@attribute EMA_5 real[-0.01,1.01]
@attribute SMA_5 real[-0.01,1.01]
@attribute std_close3 real[-0.01,1.01]
@attribute std_open3 real[-0.01,1.01]
@attribute trend{0,1}
@inputs EMA_3, SMA_3, ADXR, Bollinger_Norm, EMA_5, SMA_5, std_close3, std_open3
@outputs trend
@data
0.45462, 0.44285, 0.3758, 0.47962, 0.45796, 0.4491, 0.04599, 0.04493, 1
0.47339, 0.45283, 0.35175, 0.47951, 0.46383, 0.4457, 0.23294, 0.31518, 1
0.4606, 0.44944, 0.44137, 0.4789, 0.45983, 0.44773, 0.06809, 0.07274, 0
0.43773, 0.42964, 0.43054, 0.48568, 0.43865, 0.43462, 0.06216, 0.0428, 1
0.46019, 0.45194, 0.33667, 0.46999, 0.47127, 0.47117, 0.08647, 0.09825, 0
0.43178, 0.42903, 0.27192, 0.48523, 0.42807, 0.42814, 0.06067, 0.10504, 0
0.44344, 0.43211, 0.29833, 0.47998, 0.44612, 0.43936, 0.06516, 0.09235, 0
0.47286, 0.45527, 0.31995, 0.47799, 0.46651, 0.44615, 0.19802, 0.23122, 1
0.45227, 0.44446, 0.29465, 0.47185, 0.47827, 0.48179, 0.16862, 0.21892, 1
0.46086, 0.44713, 0.22195, 0.47038, 0.46609, 0.45819, 0.0574, 0.05096, 0
0.45548, 0.45808, 0.28005, 0.47601, 0.45568, 0.4585, 0.16015, 0.11041, 1
0.45032, 0.44346, 0.39264, 0.481, 0.45497, 0.44773, 0.02198, 0.0265, 0
0.45709, 0.44243, 0.2927, 0.47456, 0.46375, 0.46594, 0.03176, 0.04348, 0
0.4511, 0.44593, 0.11749, 0.48032, 0.45065, 0.45487, 0.04583, 0.01101, 0
0.45072, 0.44118, 0.12428, 0.47894, 0.45226, 0.45587, 0.0, 0.01541, 0
0.44436, 0.43974, 0.16314, 0.47845, 0.45436, 0.45362, 0.08503, 0.10055, 0
0.45442, 0.44471, 0.18481, 0.47103, 0.46864, 0.46883, 0.06634, 0.03986, 1
0.46141, 0.45404, 0.22794, 0.47266, 0.47035, 0.47097, 0.09565, 0.21131, 0
0.44995, 0.43785, 0.28707, 0.47609, 0.46098, 0.4467, 0.03216, 0.05388, 0
0.42686, 0.4054, 0.28752, 0.48604, 0.40906, 0.38442, 0.40053, 0.39549, 0
0.424, 0.43167, 0.28175, 0.48516, 0.4108, 0.39398, 0.04904, 0.02542, 1
0.44631, 0.43577, 0.3389, 0.47596, 0.45569, 0.45024, 0.02634, 0.06555, 0
0.45413, 0.44452, 0.35026, 0.47119, 0.46424, 0.45832, 0.03217, 0.07242, 1
0.43586, 0.43039, 0.36398, 0.48157, 0.4423, 0.44458, 0.07363, 0.11716, 0
0.44626, 0.44709, 0.42377, 0.47361, 0.46058, 0.46271, 0.18449, 0.07753, 1
0.4387, 0.42734, 0.42156, 0.48718, 0.44091, 0.43296, 0.09537, 0.04141, 0
0.44483, 0.44139, 0.41921, 0.48316, 0.44894, 0.44234, 0.04598, 0.02721, 0
0.45074, 0.4377, 0.2863, 0.47435, 0.46138, 0.45222, 0.02789, 0.03058, 0
0.48677, 0.45592, 0.26691, 0.47748, 0.47645, 0.46251, 0.33262, 0.23961, 0
0.46866, 0.4565, 0.2198, 0.46865, 0.47066, 0.46595, 0.07716, 0.1177, 0
0.45901, 0.44917, 0.19976, 0.47101, 0.47615, 0.47768, 0.08924, 0.12068, 1
0.17873, 0.17719, 0.26674, 0.67424, 0.1773, 0.18408, 0.02975, 0.04561, 0
0.72844, 0.70509, 0.32919, 0.3547, 0.73818, 0.71425, 0.11148, 0.08504, 0
0.43358, 0.42612, 0.33072, 0.48874, 0.43944, 0.4286, 0.0761, 0.05537, 1
0.45035, 0.4418, 0.25852, 0.4735, 0.45872, 0.45499, 0.02606, 0.02539, 0
0.45855, 0.44201, 0.1816, 0.47169, 0.46581, 0.46202, 0.05893, 0.0711, 0
0.44185, 0.44283, 0.15416, 0.48369, 0.43476, 0.42112, 0.01585, 0.02486, 1
0.45124, 0.44323, 0.35274, 0.48321, 0.44692, 0.44046, 0.04212, 0.04348, 0
0.44999, 0.44118, 0.42026, 0.47867, 0.45316, 0.45308, 0.01024, 0.0278, 0
0.39597, 0.42263, 0.29703, 0.47818, 0.42884, 0.45087, 0.56977, 0.65089, 1
0.46729, 0.43803, 0.32944, 0.4719, 0.49922, 0.51207, 0.02741, 0.03387, 1
0.46333, 0.44412, 0.34802, 0.47322, 0.48792, 0.47492, 0.02539, 0.03077, 1
0.44875, 0.4395, 0.50496, 0.48402, 0.45025, 0.4393, 0.03944, 0.09747, 1
0.44974, 0.44496, 0.50104, 0.48157, 0.45168, 0.44833, 0.03951, 0.01025, 0
0.42336, 0.41538, 0.48666, 0.48032, 0.43468, 0.43574, 0.12984, 0.12379, 1
0.4688, 0.46201, 0.4768, 0.46914, 0.47898, 0.47522, 0.1279, 0.13156, 1
0.4417, 0.43699, 0.31572, 0.48401, 0.4489, 0.44477, 0.0564, 0.05922, 0
0.46355, 0.44833, 0.24289, 0.47093, 0.468, 0.4603, 0.07514, 0.07327, 0
0.45738, 0.44455, 0.09824, 0.4751, 0.46139, 0.45087, 0.05852, 0.04041, 0
0.47683, 0.46133, 0.14005, 0.46787, 0.48159, 0.47313, 0.11053, 0.16851, 1
0.42895, 0.42131, 0.19546, 0.48373, 0.43613, 0.42843, 0.09594, 0.05199, 1
0.66145, 0.64671, 0.2604, 0.42891, 0.66496, 0.6477, 0.10071, 0.08697, 1
0.45965, 0.44925, 0.27768, 0.47084, 0.47621, 0.48444, 0.10912, 0.17812, 0
0.44768, 0.43725, 0.25363, 0.47534, 0.45937, 0.45237, 0.02254, 0.00442, 1
0.46653, 0.45259, 0.25291, 0.47069, 0.47273, 0.46293, 0.07451, 0.10837, 0
0.42917, 0.42214, 0.25544, 0.48588, 0.43813, 0.43067, 0.09293, 0.12714, 1
0.45285, 0.44077, 0.21495, 0.47645, 0.45789, 0.4486, 0.04511, 0.03119, 1
0.46433, 0.44947, 0.19661, 0.47893, 0.46312, 0.44848, 0.11787, 0.08231, 0
0.44996, 0.43614, 0.25645, 0.47939, 0.45369, 0.43687, 0.1047, 0.07963, 0
0.43306, 0.43006, 0.2753, 0.48722, 0.43901, 0.42657, 0.0632, 0.05432, 1
0.43975, 0.42525, 0.29714, 0.48519, 0.43648, 0.42801, 0.15679, 0.1898, 0
0.45141, 0.44118, 0.34209, 0.48012, 0.45229, 0.44744, 0.03856, 0.05962, 1
0.41823, 0.40204, 0.2344, 0.48688, 0.40089, 0.3778, 0.35385, 0.34278, 1
0.44764, 0.43848, 0.36127, 0.47905, 0.45176, 0.45162, 0.01569, 0.04801, 0
0.45479, 0.44571, 0.2873, 0.47166, 0.4618, 0.45871, 0.03513, 0.04236, 0
0.43723, 0.43132, 0.31967, 0.48586, 0.43472, 0.42184, 0.06077, 0.08678, 0
0.46156, 0.44716, 0.2974, 0.47208, 0.46669, 0.45823, 0.06067, 0.0637, 0
0.45429, 0.44897, 0.22381, 0.47975, 0.45091, 0.45533, 0.04648, 0.02954, 0
0.43688, 0.4098, 0.21216, 0.47722, 0.44555, 0.44303, 0.24321, 0.25768, 0
0.44382, 0.44447, 0.22352, 0.48061, 0.44983, 0.44389, 0.10752, 0.09104, 0
0.45526, 0.44223, 0.52067, 0.47336, 0.46031, 0.45923, 0.03011, 0.02194, 0
0.4527, 0.44369, 0.47406, 0.4743, 0.45854, 0.45429, 0.01601, 0.00446, 1
0.44705, 0.43805, 0.29135, 0.47408, 0.45844, 0.45239, 0.03645, 0.04822, 0
0.451, 0.43951, 0.31938, 0.47354, 0.46192, 0.45417, 0.00881, 0.03592, 0
0.44214, 0.43492, 0.34578, 0.47901, 0.44905, 0.44353, 0.03679, 0.02946, 1
0.5041, 0.46995, 0.30926, 0.46894, 0.51069, 0.50063, 0.2626, 0.30889, 0
0.44941, 0.44447, 0.29559, 0.47383, 0.45909, 0.4622, 0.09753, 0.06488, 1
0.44441, 0.43666, 0.20256, 0.47932, 0.45189, 0.44301, 0.02776, 0.03315, 0
0.45761, 0.43354, 0.25724, 0.47251, 0.47723, 0.47815, 0.07375, 0.01957, 1
0.45973, 0.44842, 0.3135, 0.47321, 0.46928, 0.45976, 0.03529, 0.03463, 0
0.43256, 0.43106, 0.40438, 0.48027, 0.44345, 0.44172, 0.1161, 0.11332, 1
0.46261, 0.44986, 0.40482, 0.46895, 0.47064, 0.47001, 0.04241, 0.08154, 0
0.39954, 0.38535, 0.23517, 0.4881, 0.383, 0.36047, 0.39772, 0.45127, 0
0.43995, 0.43153, 0.47887, 0.48064, 0.44745, 0.43752, 0.04673, 0.02961, 1
0.44886, 0.43804, 0.14814, 0.48253, 0.45206, 0.44719, 0.03345, 0.02157, 0
0.44782, 0.43678, 0.16375, 0.47523, 0.45489, 0.45075, 0.02301, 0.05568, 1
0.45639, 0.44841, 0.41337, 0.478, 0.45899, 0.45061, 0.03492, 0.05921, 0
0.45453, 0.4447, 0.41412, 0.47046, 0.46204, 0.45938, 0.023, 0.01721, 1
0.18723, 0.18422, 0.43088, 0.66958, 0.18739, 0.19035, 0.03724, 0.05359, 1
0.4384, 0.43051, 0.36488, 0.48579, 0.43855, 0.43425, 0.0595, 0.02902, 1
0.45303, 0.44286, 0.31817, 0.48005, 0.4547, 0.45189, 0.02581, 0.03757, 1
0.45763, 0.44558, 0.21434, 0.4761, 0.45981, 0.45316, 0.05182, 0.0292, 0
0.46391, 0.45312, 0.19395, 0.47665, 0.46409, 0.45531, 0.07027, 0.14738, 1
0.4568, 0.44738, 0.2265, 0.47119, 0.46303, 0.45788, 0.03166, 0.03707, 0
0.45316, 0.44696, 0.22946, 0.48188, 0.45304, 0.44461, 0.02809, 0.03866, 0
0.447, 0.43809, 0.22795, 0.48347, 0.44742, 0.44149, 0.02985, 0.0428, 0
0.45379, 0.44965, 0.21751, 0.47246, 0.46464, 0.46726, 0.12596, 0.07359, 1
0.44475, 0.43498, 0.22666, 0.48044, 0.45268, 0.4471, 0.02994, 0.04556, 1
0.44813, 0.43891, 0.27081, 0.48155, 0.45123, 0.44611, 0.01396, 0.02502, 0
0.48741, 0.47633, 0.26095, 0.47238, 0.48555, 0.47455, 0.17311, 0.18979, 0
0.47163, 0.46285, 0.25443, 0.47824, 0.46696, 0.45874, 0.11445, 0.20956, 0
0.42641, 0.42149, 0.28174, 0.4898, 0.43122, 0.42878, 0.09815, 0.07486, 0
0.46225, 0.44811, 0.27814, 0.47053, 0.46826, 0.46538, 0.04256, 0.08231, 0
0.17139, 0.17022, 0.3379, 0.59493, 0.17409, 0.17501, 0.04119, 0.11037, 1
0.75327, 0.73677, 0.25929, 0.18312, 0.76185, 0.74765, 0.03001, 0.03448, 0
0.44662, 0.43656, 0.23825, 0.48484, 0.45206, 0.44527, 0.02837, 0.02369, 1
0.44271, 0.43552, 0.21234, 0.48811, 0.4472, 0.44248, 0.02871, 0.04814, 1
0.44811, 0.43866, 0.18355, 0.48014, 0.4534, 0.44986, 0.01216, 0.03343, 0
0.64153, 0.63266, 0.16961, 0.38531, 0.65078, 0.64644, 0.07098, 0.08604, 1
0.3537, 0.36587, 0.19061, 0.49014, 0.36131, 0.36196, 0.39585, 0.4032, 1
0.47865, 0.49133, 0.19043, 0.47191, 0.49365, 0.4974, 0.44541, 0.45705, 0
0.44998, 0.44077, 0.19106, 0.48389, 0.44935, 0.43954, 0.04518, 0.07994, 0
0.45629, 0.44451, 0.11963, 0.47031, 0.46494, 0.45907, 0.01644, 0.01935, 0
0.45, 0.43702, 0.15018, 0.47433, 0.4587, 0.45276, 0.03432, 0.03522, 1
0.51667, 0.48447, 0.14385, 0.4746, 0.50307, 0.47395, 0.41176, 0.42965, 0
0.44854, 0.44408, 0.17257, 0.47968, 0.44841, 0.46466, 0.0672, 0.13985, 1
0.45996, 0.44944, 0.15561, 0.47942, 0.45816, 0.45261, 0.05743, 0.0374, 0
0.45927, 0.45198, 0.2918, 0.47545, 0.46222, 0.45577, 0.0539, 0.14192, 1
0.44536, 0.43886, 0.54734, 0.47758, 0.45243, 0.45267, 0.05242, 0.05536, 0
0.45142, 0.44351, 0.52682, 0.47128, 0.46026, 0.4601, 0.05246, 0.02254, 1
0.45331, 0.44328, 0.5847, 0.47111, 0.45855, 0.45863, 0.02026, 0.04368, 0
0.46139, 0.44984, 0.40764, 0.47773, 0.4633, 0.45446, 0.06078, 0.08999, 0
0.44551, 0.43929, 0.3496, 0.47596, 0.4528, 0.45279, 0.05543, 0.05496, 0
0.4526, 0.44034, 0.29766, 0.47526, 0.45833, 0.44934, 0.03904, 0.02435, 0
0.44463, 0.43548, 0.23741, 0.47785, 0.45396, 0.4396, 0.02893, 0.06103, 0
0.45212, 0.43886, 0.22016, 0.47549, 0.46278, 0.47292, 0.01137, 0.03964, 1
0.45712, 0.4452, 0.17525, 0.47114, 0.46335, 0.45575, 0.03008, 0.04629, 1
0.44231, 0.43125, 0.11344, 0.4861, 0.44636, 0.43909, 0.06283, 0.07571, 1
0.46328, 0.44897, 0.25221, 0.47219, 0.46665, 0.45712, 0.06915, 0.03835, 0
0.45002, 0.44539, 0.25268, 0.47745, 0.45658, 0.451, 0.06315, 0.04869, 0
0.45275, 0.43992, 0.28167, 0.47444, 0.46215, 0.45318, 0.03231, 0.06924, 0
0.46014, 0.45152, 0.31507, 0.4728, 0.46543, 0.45829, 0.05066, 0.1392, 0
0.44931, 0.43991, 0.21636, 0.47369, 0.4731, 0.46479, 0.11381, 0.27678, 1
0.44416, 0.43864, 0.21367, 0.48412, 0.44075, 0.4315, 0.03413, 0.0587, 1
0.42865, 0.42638, 0.20095, 0.48538, 0.43127, 0.4337, 0.09115, 0.11859, 1
0.45168, 0.4397, 0.21387, 0.4798, 0.45347, 0.44562, 0.05177, 0.04511, 1
0.44731, 0.4397, 0.26254, 0.4763, 0.45306, 0.45011, 0.02743, 0.00812, 1
0.45346, 0.4433, 0.29914, 0.47286, 0.4611, 0.45652, 0.0108, 0.10153, 0
0.46255, 0.44971, 0.41826, 0.46877, 0.46676, 0.46108, 0.05277, 0.0583, 0
0.4341, 0.42664, 0.40847, 0.48499, 0.44139, 0.43815, 0.0723, 0.07542, 1
0.46747, 0.46225, 0.37123, 0.4687, 0.48186, 0.47982, 0.16562, 0.17987, 0
0.71379, 0.70043, 0.35993, 0.40221, 0.72834, 0.71286, 0.04083, 0.02738, 1
0.44025, 0.43061, 0.21735, 0.48606, 0.43853, 0.42231, 0.10201, 0.1608, 1
0.45233, 0.44118, 0.32839, 0.4794, 0.45575, 0.44857, 0.03532, 0.03319, 1
0.43665, 0.42307, 0.30737, 0.48311, 0.43717, 0.42198, 0.14294, 0.24272, 1
0.44965, 0.44098, 0.3014, 0.48204, 0.45125, 0.4491, 0.00531, 0.02397, 1
0.10091, 0.09845, 0.26862, 0.5325, 0.11081, 0.11576, 0.07733, 0.02181, 0
0.45726, 0.445, 0.27375, 0.47467, 0.46594, 0.45409, 0.03685, 0.03043, 0
0.8029, 0.78889, 0.35315, 0.30272, 0.81314, 0.80179, 0.05379, 0.07494, 0
0.41179, 0.38111, 0.40046, 0.48435, 0.407, 0.40266, 0.4516, 0.43257, 0
0.43176, 0.43182, 0.27182, 0.47816, 0.44469, 0.43763, 0.1315, 0.15829, 0
0.43, 0.43557, 0.14722, 0.48242, 0.43387, 0.43334, 0.1366, 0.17498, 0
0.45227, 0.43952, 0.10547, 0.47583, 0.45821, 0.44784, 0.04599, 0.1709, 0
0.45591, 0.44518, 0.19603, 0.47311, 0.46541, 0.45623, 0.01999, 0.03139, 0
0.45756, 0.44308, 0.335, 0.47257, 0.4682, 0.45715, 0.03477, 0.06318, 0
0.45699, 0.45155, 0.32273, 0.47842, 0.45921, 0.45434, 0.06024, 0.09634, 0
0.4463, 0.4395, 0.25929, 0.48462, 0.44803, 0.44437, 0.01075, 0.04705, 0
0.43977, 0.43254, 0.24328, 0.47837, 0.44943, 0.44768, 0.05815, 0.01557, 0
0.45782, 0.45109, 0.18843, 0.47555, 0.46204, 0.45905, 0.06047, 0.04513, 1
0.45823, 0.44666, 0.20107, 0.47896, 0.45823, 0.44832, 0.06223, 0.04208, 0
0.442, 0.43319, 0.20482, 0.4864, 0.44265, 0.43583, 0.05221, 0.08061, 0
